time,MEMORY,best_of_gen,average,TRAINED,gen
1751359141.0835938,2363392.0,0.7111889999999998,-454.68032973818185,False,1738
1751359141.5210884,2364148.0,0.7111889999999998,-422.62422465,False,1739
1751359141.963114,2364592.0,0.7111889999999998,-500.67996495,False,1740
1751359142.4006932,2365596.0,0.7111889999999998,-437.6667887469558,False,1741
1751359142.8475573,2366480.0,0.7111889999999998,-480.6589479170842,False,1742
1751359143.3000858,2366352.0,0.7111889999999998,-397.6444924334666,False,1743
1751359143.7401116,2366604.0,0.7111889999999998,-392.623850489416,False,1744
1751359144.1746035,2368740.0,0.7111889999999998,-450.64440550000006,False,1745
1751359151.1937034,2368916.0,0.7111889999999998,-406.63018171999994,True,1746
1751359151.7887654,2369408.0,0.7111889999999998,-495.6670362523809,False,1747
1751359152.2462478,2369664.0,0.7111889999999998,-545.70130062,False,1748
1751359152.7093222,2369792.0,0.7111889999999998,-449.65862928,False,1749
1751359153.178948,2369984.0,0.7111889999999998,-410.673481936318,False,1750
1751359153.6459477,2369408.0,0.7111889999999998,-494.6446606223684,False,1751
1751359154.0684004,2369664.0,0.7111889999999998,-346.57424478487803,False,1752
1751359154.518446,2369792.0,0.7111889999999998,-462.63729361000003,False,1753
1751359154.9612343,2369984.0,0.7111889999999998,-432.6515173899999,False,1754
1751359155.4167385,2369664.0,0.7111889999999998,-396.65862927999996,False,1755
1751359155.8685176,2370408.0,0.7111889999999998,-437.67300513266656,False,1756
1751359156.3193715,2370216.0,0.7111889999999998,-384.58039848999994,False,1757
1751359156.7659223,2370600.0,0.7111889999999998,-486.66574117,False,1758
1751359157.2138598,2370344.0,0.7111889999999998,-413.62358447615384,False,1759
1751359157.656244,2372424.0,0.7111889999999998,-508.6379072875949,False,1760
1751359158.0880723,2372616.0,0.7111889999999998,-414.60216800272724,False,1761
1751359158.5398922,2372360.0,0.7111889999999998,-437.68707684000003,False,1762
1751359158.9836788,2372552.0,0.7111889999999998,-466.6378425589744,False,1763
1751359159.4191449,2373248.0,0.7111889999999998,-475.64499112205124,False,1764
1751359159.8821611,2374384.0,0.7111889999999998,-562.70841251,False,1765
1751359160.3569648,2378800.0,0.7111889999999998,-552.7302641833334,False,1766
1751359160.8353064,2378024.0,0.7111889999999998,-492.7156704995999,False,1767
1751359161.3094895,2377960.0,0.7111889999999998,-510.74464623703585,False,1768
1751359161.89164,2380104.0,0.7111889999999998,-426.6604627217325,False,1769
1751359162.3331869,2380040.0,0.7111889999999998,-416.6311454026859,False,1770
1751359169.1761026,2379900.0,0.7111889999999998,-573.7101004164347,True,1771
1751359169.6483335,2379900.0,0.7111889999999998,-483.70208066125,False,1772
1751359170.1242752,2380148.0,0.7111889999999998,-464.6981080632107,False,1773
1751359170.5844696,2380276.0,0.7111889999999998,-419.6962593664837,False,1774
1751359171.060582,2379892.0,0.7111889999999998,-536.702258613315,False,1775
1751359171.53887,2379892.0,0.7111889999999998,-569.7369935559999,False,1776
1751359171.9978306,2380020.0,0.7111889999999998,-469.70143410599997,False,1777
1751359172.440417,2380276.0,0.7111889999999998,-433.673365840935,False,1778
1751359172.8907464,2379764.0,0.7111889999999998,-466.69418873,False,1779
1751359173.3214507,2379892.0,0.7111889999999998,-543.702018134,False,1780
1751359173.7723541,2379956.0,0.7111889999999998,-514.7306034764198,False,1781
1751359174.2337074,2380212.0,0.7111889999999998,-414.6733386471795,False,1782
1751359174.6755073,2381032.0,0.7111889999999998,-426.6515173899999,False,1783
1751359175.101884,2381656.0,0.7111889999999998,-433.67996495,False,1784
1751359175.5271673,2381648.0,0.7111889999999998,-431.61595794,False,1785
1751359175.9665084,2381712.0,0.7111889999999998,-519.69418873,False,1786
1751359176.3872101,2381776.0,0.7111889999999998,-401.63018171999994,False,1787
1751359176.8120024,2383856.0,0.7111889999999998,-412.6663788807595,False,1788
1751359177.2526698,2383664.0,0.7111889999999998,-524.69575921425,False,1789
1751359177.711997,2383664.0,0.7111889999999998,-561.68707684,False,1790
1751359178.151294,2383664.0,0.7111889999999998,-509.6948283863291,False,1791
1751359178.605889,2383664.0,0.7111889999999998,-503.68775632866664,False,1792
1751359179.049367,2383600.0,0.7111889999999998,-579.7443952305196,False,1793
1751359179.4755685,2387632.0,0.7111889999999998,-543.6959415122543,False,1794
1751359180.042587,2387696.0,0.7111889999999998,-476.67297962093323,False,1795
1751359180.4754863,2387696.0,0.7111889999999998,-511.70237138630114,False,1796
1751359187.490785,2388064.0,0.7111889999999998,-410.60884605000007,True,1797
1751359187.934588,2388320.0,0.7111889999999998,-480.67285305999997,False,1798
1751359188.39207,2387680.0,0.7111889999999998,-418.61595794,False,1799
1751359188.8568347,2387936.0,0.7111889999999998,-515.70130062,False,1800
1751359189.311548,2387744.0,0.7111889999999998,-390.6384574007228,False,1801
1751359189.761719,2387808.0,0.7111889999999998,-457.6444055,False,1802
1751359190.2342522,2388064.0,0.7111889999999998,-456.6662499676923,False,1803
1751359190.6583412,2387552.0,0.7111889999999998,-324.56660144571424,False,1804
1751359191.1086786,2387360.0,0.7111889999999998,-408.62395556419744,False,1805
1751359191.5611978,2387544.0,0.7111889999999998,-388.6375871542105,False,1806
1751359192.0252442,2387928.0,0.7111889999999998,-492.70130062,False,1807
1751359192.4982889,2387672.0,0.7111889999999998,-544.7093642288278,False,1808
1751359192.939316,2387672.0,0.7111889999999998,-398.65862928,False,1809
1751359193.402892,2387800.0,0.7111889999999998,-510.7093865978048,False,1810
1751359193.8758335,2387864.0,0.7111889999999998,-522.7236103778049,False,1811
1751359194.3152764,2387924.0,0.7111889999999998,-374.68811791650603,False,1812
1751359194.7808192,2388176.0,0.7111889999999998,-471.69444114500004,False,1813
1751359195.2096298,2388176.0,0.7111889999999998,-402.63817143163504,False,1814
1751359195.686628,2387804.0,0.7111889999999998,-417.63729361,False,1815
1751359196.1382685,2388752.0,0.7111889999999998,-479.67325579675327,False,1816
1751359196.6003249,2389124.0,0.7111889999999998,-478.6664608224999,False,1817
1751359197.0682006,2390136.0,0.7111889999999998,-488.70130062000004,False,1818
1751359197.5169868,2389812.0,0.7111889999999998,-454.6675325697675,False,1819
1751359197.9678257,2390884.0,0.7111889999999998,-474.6526506092695,False,1820
1751359198.5527256,2391576.0,0.7111889999999998,-497.70160449605254,False,1821
1751359199.009732,2391704.0,0.7111889999999998,-459.6516193581333,False,1822
1751359206.0902379,2391628.0,0.7111889999999998,-459.66574117,True,1823
1751359206.5587306,2392828.0,0.7111889999999998,-460.67996494999994,False,1824
