gen,time,PKG,GPU,seconds_passed,best_of_gen,average,best_of_gen_std
1535.0,1970-01-01 00:00:01.749325667,21178.780959999982,70356.7180399999,9.032000000000001e-07,0.6936926959298246,-466.08701242632344,0.006593748261863626
1536.0,1970-01-01 00:00:01.749325668,21194.493917999982,70400.3431669999,9.034e-07,0.6936926959298246,-460.0870513876278,0.006593748261863626
1537.0,1970-01-01 00:00:01.749325668,21228.09341599998,70500.5996289999,9.042e-07,0.6936926959298246,-483.3122592616651,0.006593748261863626
1538.0,1970-01-01 00:00:01.749325675,21390.12450999998,71079.49986499992,9.112000000000001e-07,0.6936926959298246,-486.5022589414342,0.006593748261863626
1539.0,1970-01-01 00:00:01.749325676,21384.44907999998,71060.56756999991,9.114e-07,0.6936926959298246,-519.904772799581,0.006593748261863626
1540.0,1970-01-01 00:00:01.749325676,21397.12725599998,71102.41133899991,9.122e-07,0.6936926959298246,-460.0955537242586,0.006593748261863626
1541.0,1970-01-01 00:00:01.749325677,21406.507733999977,71131.87327099992,9.123999999999999e-07,0.6936926959298246,-444.50741976615274,0.006593748261863626
1542.0,1970-01-01 00:00:01.749325677,21428.40937199998,71199.70179299993,9.132e-07,0.6936926959298246,-466.07499456961597,0.006593748261863626
1543.0,1970-01-01 00:00:01.749325678,21428.52267199998,71198.85919299992,9.133999999999999e-07,0.6936926959298246,-446.0783873389579,0.006593748261863626
1544.0,1970-01-01 00:00:01.749325678,21444.24907999998,71243.31176999993,9.140000000000001e-07,0.6936926959298246,-447.05496818152886,0.006593748261863626
1545.0,1970-01-01 00:00:01.749325678,21446.60986199998,71251.00102799993,9.142e-07,0.6936926959298246,-477.2739644329129,0.006593748261863626
1546.0,1970-01-01 00:00:01.749325679,21453.97295799998,71270.15250199992,9.146e-07,0.6936926959298246,-536.9355180647001,0.006593748261863626
1547.0,1970-01-01 00:00:01.749325679,21479.868493999984,71336.86276099992,9.151999999999999e-07,0.6936926959298246,-469.6644322452469,0.006593748261863626
1548.0,1970-01-01 00:00:01.749325680,21485.656223999984,71352.30615599992,9.154000000000001e-07,0.6936926959298246,-447.4633608988155,0.006593748261863626
1549.0,1970-01-01 00:00:01.749325680,21510.616693999982,71417.64803599993,9.162e-07,0.6936926959298246,-445.8954940561056,0.006593748261863626
1550.0,1970-01-01 00:00:01.749325681,21516.426723999983,71432.45788099992,9.164e-07,0.6936926959298246,-491.50224673968785,0.006593748261863626
1551.0,1970-01-01 00:00:01.749325681,21521.41433799998,71445.37004699992,9.170000000000001e-07,0.6936926959298246,-511.7312132164144,0.006593748261863626
1552.0,1970-01-01 00:00:01.749325682,21528.411433999983,71462.28957099993,9.174000000000001e-07,0.6936926959298246,-435.8660809270984,0.006593748261863626
1553.0,1970-01-01 00:00:01.749325682,21533.379747999985,71473.02673699992,9.177999999999999e-07,0.6936926959298246,-434.2323616085188,0.006593748261863626
1554.0,1970-01-01 00:00:01.749325682,21548.143939999984,71518.43538499992,9.182e-07,0.6936926959298246,-438.6311511604583,0.006593748261863626
1555.0,1970-01-01 00:00:01.749325683,21555.46543599998,71532.90665899993,9.186e-07,0.6936926959298246,-481.8702821567217,0.006593748261863626
1556.0,1970-01-01 00:00:01.749325683,21578.740339999982,71595.05270999992,9.191999999999999e-07,0.6936926959298246,-512.8797063344437,0.006593748261863626
1557.0,1970-01-01 00:00:01.749325684,21585.870735999983,71609.58678399991,9.194e-07,0.6936926959298246,-400.4075968178057,0.006593748261863626
1558.0,1970-01-01 00:00:01.749325684,21586.101735999982,71610.71398399991,9.2e-07,0.6936926959298246,-432.8577611640232,0.006593748261863626
1559.0,1970-01-01 00:00:01.749325685,21595.92216399998,71632.73891599991,9.204e-07,0.6936926959298246,-524.3200954186052,0.006593748261863626
1560.0,1970-01-01 00:00:01.749325685,21604.43832599998,71657.60426899992,9.21e-07,0.6936926959298246,-562.1494079847323,0.006593748261863626
1561.0,1970-01-01 00:00:01.749325686,21628.806245999982,71720.9230489999,9.214e-07,0.6936926959298246,-407.07386802430034,0.006593748261863626
1562.0,1970-01-01 00:00:01.749325686,21655.911997999985,71782.0617869999,9.218e-07,0.6936926959298246,-449.04670244303196,0.006593748261863626
1563.0,1970-01-01 00:00:01.749325686,21658.279929999982,71789.7514949999,9.222e-07,0.6936926959298246,-449.0693697752311,0.006593748261863626
1564.0,1970-01-01 00:00:01.749325693,21821.33903999998,72356.8257099999,9.292e-07,0.6936926959298246,-485.3246627182851,0.006593748261863626
1565.0,1970-01-01 00:00:01.749325694,21823.48517199998,72364.2266679999,9.296000000000001e-07,0.6936926959298246,-513.1443687546581,0.006593748261863626
1566.0,1970-01-01 00:00:01.749325694,21843.36989399998,72427.2133609999,9.302e-07,0.6936926959298246,-523.1498263001349,0.006593748261863626
1567.0,1970-01-01 00:00:01.749325695,21857.22748599998,72472.7914589999,9.306e-07,0.6936926959298246,-422.8779558859791,0.006593748261863626
1568.0,1970-01-01 00:00:01.749325695,21865.67979799998,72499.43516199992,9.312e-07,0.6936926959298246,-482.6947752137909,0.006593748261863626
1569.0,1970-01-01 00:00:01.749325696,21882.37977199998,72551.3897679999,9.316e-07,0.6936926959298246,-465.28667198435534,0.006593748261863626
1570.0,1970-01-01 00:00:01.749325696,21890.70288399998,72577.44822099991,9.321999999999999e-07,0.6936926959298246,-450.89355079286395,0.006593748261863626
1571.0,1970-01-01 00:00:01.749325697,21895.50274799998,72591.6038869999,9.326e-07,0.6936926959298246,-425.04780206937374,0.006593748261863626
1572.0,1970-01-01 00:00:01.749325697,21895.50129799998,72591.9384869999,9.33e-07,0.6936926959298246,-455.6673175651871,0.006593748261863626
1573.0,1970-01-01 00:00:01.749325698,21909.72923999998,72631.4023849999,9.333999999999999e-07,0.6936926959298246,-470.2941257165119,0.006593748261863626
1574.0,1970-01-01 00:00:01.749325698,21924.003581999983,72676.2213829999,9.340000000000001e-07,0.6936926959298246,-452.28294795143427,0.006593748261863626
1575.0,1970-01-01 00:00:01.749325698,21936.04124199998,72710.3184229999,9.342e-07,0.6936926959298246,-482.91751423931976,0.006593748261863626
1576.0,1970-01-01 00:00:01.749325699,21957.695829999975,72774.8745949999,9.346e-07,0.6936926959298246,-425.67295345059455,0.006593748261863626
1577.0,1970-01-01 00:00:01.749325699,21974.45325399998,72821.79780099989,9.352e-07,0.6936926959298246,-417.8602380268723,0.006593748261863626
1578.0,1970-01-01 00:00:01.749325700,21972.017171999978,72814.27314299988,9.356e-07,0.6936926959298246,-441.4449370273543,0.006593748261863626
1579.0,1970-01-01 00:00:01.749325700,21976.99313599998,72826.13565899989,9.361999999999999e-07,0.6936926959298246,-385.43652123195153,0.006593748261863626
1580.0,1970-01-01 00:00:01.749325701,21995.33632599998,72881.80614399989,9.366e-07,0.6936926959298246,-504.11431017691683,0.006593748261863626
1581.0,1970-01-01 00:00:01.749325701,22005.16810399998,72911.04272599988,9.37e-07,0.6936926959298246,-433.06733260178464,0.006593748261863626
