time,best_of_gen,average,TRAINED,gen
1750819228.4467008,0.7659455211267605,-468.65532451549296,False,4361
1750819229.3040411,0.7659455211267605,-522.685962336338,False,4362
1750819230.1241696,0.7659455211267605,-400.60212762814285,False,4363
1750819230.9437675,0.7659455211267605,-454.6031962326499,False,4364
1750819231.8514357,0.7659455211267605,-505.68738735325655,False,4365
1750819232.654787,0.7659455211267605,-517.6487355281512,False,4366
1750819233.4317186,0.7659455211267605,-383.571070508169,False,4367
1750819234.225986,0.7659455211267605,-463.6400056050704,False,4368
1750819235.028307,0.7659455211267605,-427.62468669464783,False,4369
1750819235.8469703,0.7659455211267605,-442.6706434259155,False,4370
1750819236.6705582,0.7659455211267605,-556.6480801357632,False,4371
1750819237.4606504,0.7659455211267605,-540.6400056050703,False,4372
1750819238.2850335,0.7659455211267605,-611.716600157183,False,4373
1750819239.084339,0.7659455211267605,-587.7472379780281,False,4374
1750819239.8753762,0.7659455211267605,-584.7099066812164,False,4375
1750819240.6467152,0.7659455211267605,-488.6558157447055,False,4376
1750819241.5895407,0.7659455211267605,-491.64766506028167,False,4377
1750819242.3706498,0.7659455211267605,-501.6583043751365,False,4378
1750819243.1741583,0.7659455211267605,-528.6323461498592,False,4379
1750819243.9723105,0.7659455211267605,-561.7250907605926,False,4380
1750819244.7627485,0.7659455211267605,-550.6944628221146,False,4381
1750819245.5429003,0.7659455211267605,-448.64012408389283,False,4382
1750819252.966637,0.7659455211267605,-509.65532451549296,True,4383
1750819253.737184,0.7659455211267605,-423.60170832901406,False,4384
1750819254.588017,0.7659455211267605,-489.61702778788737,False,4385
1750819255.4002092,0.7659455211267605,-530.6629839707042,False,4386
1750819256.2545018,0.7659455211267605,-526.6936217915493,False,4387
1750819257.1235108,0.7659455211267605,-484.65532451549296,False,4388
1750819257.9905283,0.7659455211267605,-396.64059720683434,False,4389
1750819258.8096628,0.7659455211267605,-502.6492625664916,False,4390
1750819259.6346784,0.7659455211267605,-454.6410426158114,False,4391
1750819260.4577768,0.7660105915492957,-526.671558128397,False,4392
1750819261.315221,0.7660105915492957,-493.6738344795016,False,4393
1750819262.1254013,0.7660105915492957,-439.6335002252521,False,4394
1750819262.989709,0.7660105915492957,-471.6953238273649,False,4395
1750819263.8140388,0.7660105915492957,-442.65531150140845,False,4396
1750819264.6319125,0.7660105915492957,-495.63998608394365,False,4397
1750819265.426298,0.7660105915492957,-420.63997892619716,False,4398
1750819266.251706,0.7660105915492957,-501.6782755515493,False,4399
1750819267.038367,0.7660105915492957,-508.63274278587824,False,4400
1750819267.999253,0.7660105915492957,-395.6093345983099,False,4401
1750819268.7810972,0.7660105915492957,-452.6323149160564,False,4402
1750819269.602703,0.7660105915492957,-479.6552952338028,False,4403
1750819270.3610601,0.7660105915492957,-433.6171593243075,False,4404
1750819271.1431007,0.7660105915492957,-424.57914205623905,False,4405
1750819271.9013858,0.7660105915492957,-368.5786941746479,False,4406
1750819272.7329285,0.7660105915492957,-536.6935957633802,False,4407
1750819273.516105,0.7660105915492957,-432.6718375233315,False,4408
1750819281.0416484,0.7660105915492957,-495.68713492020737,True,4409
1750819281.8971198,0.7660105915492957,-397.6114196159066,False,4410
1750819282.757653,0.7660105915492957,-413.6108407167158,False,4411
1750819283.6067505,0.7660105915492957,-466.6175568983161,False,4412
1750819284.4447224,0.7660105915492957,-434.5717156245545,False,4413
